id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,photos,price,hours,transactions,special_hours,address1,city,zip_code,country,state,latitude,longitude
EFM5tk2FyVjY_W43jxfrYQ,el-vilsito-ciudad-de-méxico,El Vilsito,https://s3-media2.fl.yelpcdn.com/bphoto/irzWQkvOf4OzNm4H8x8ZDA/o.jpg,,False,https://www.yelp.com/biz/el-vilsito-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525556827213,+52 55 5682 7213,58.0,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.5,,$$,,{},,Av. Universidad 248,Ciudad de México,03020,MX,DIF,19.3894857763437,-99.1527070980448
9Q9Z5Gnkr15nIvokMPxTgg,agua-purificada-layf-méxico,Agua purificada Layf,https://s3-media1.fl.yelpcdn.com/bphoto/_Rj3XtOV-u5m5iaLLTamZg/o.jpg,,False,https://www.yelp.com/biz/agua-purificada-layf-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525563634089,+52 55 6363 4089,1.0,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",4.0,,,,{},,Nicolás San Juan 26 B esquina Obrero Mundial,"México, D.F.",03100,MX,DIF,19.4016091,-99.1605304
jyBGBXB4QgV0nigbNiZftA,nibelungengarten-méxico-2,Nibelungengarten,https://s3-media1.fl.yelpcdn.com/bphoto/C69e1SezV9Whks1ffaylrQ/o.jpg,,False,https://www.yelp.com/biz/nibelungengarten-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525556091309,+52 55 5609 1309,13.0,"[{'alias': 'german', 'title': 'German'}]",4.0,,$$,,{},,Dr. José Ma. Vertíz 1024,"México, D.F.",03600,MX,DIF,19.3839854,-99.1521363
AuYebyA7CbRXkvtHP4FXMQ,casquet-méxico,Casquet,https://s3-media4.fl.yelpcdn.com/bphoto/i-uqxyDw1hTgfp_btMnJ5g/o.jpg,,False,https://www.yelp.com/biz/casquet-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525563947022,+52 55 6394 7022,3.0,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.5,,$,,{},,Calle Palenque 154,"México, D.F.",03020,MX,DIF,19.3929302025596,-99.1519633587443
MLf4k9S4A0MqouGDr9f69w,beer-bros-méxico,Beer Bros,https://s3-media2.fl.yelpcdn.com/bphoto/1V95xgHkKxNLcD-Nq9X64g/o.jpg,,False,https://www.yelp.com/biz/beer-bros-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525539958022,+52 55 3995 8022,7.0,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,,$$$,,{},,Luz Saviñon S/N,"México, D.F.",03020,MX,DIF,19.3914569617202,-99.1606706994057
F9Vz6tbQLqAVl_jfCHHo5Q,fonda-argentina-benito-juárez,Fonda Argentina,https://s3-media4.fl.yelpcdn.com/bphoto/9C_IS5xSuqwITH13SlaaUA/o.jpg,,False,https://www.yelp.com/biz/fonda-argentina-benito-ju%C3%A1rez?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525524540045,+52 55 2454 0045,4.0,"[{'alias': 'argentine', 'title': 'Argentine'}]",4.0,,$$$,,{},,Viaducto Miguel Alemán 80,"México, D.F.",03010,MX,DIF,19.403782,-99.148331
OEl1HJB0Yl8a6r5f7nveaw,cervecería-la-victoria-méxico-2,Cervecería La Victoria,https://s3-media1.fl.yelpcdn.com/bphoto/BNwstelYLZvtHWjiT0zAJQ/o.jpg,,False,https://www.yelp.com/biz/cervecer%C3%ADa-la-victoria-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525555903456,+52 55 5590 3456,3.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'divebars', 'title': 'Dive Bars'}]",3.5,,$,,{},,Toledo 189,"México, D.F.",03400,MX,DIF,19.3954906,-99.1385117
u--INeZ5_5RuRgyDoi6xfA,está-krbón-ciudad-de-méxico,Está Krbón,https://s3-media3.fl.yelpcdn.com/bphoto/QqXlmO1uDpcMdvZHoViNDg/o.jpg,,False,https://www.yelp.com/biz/est%C3%A1-krb%C3%B3n-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525567255537,+52 55 6725 5537,10.0,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,,$,,{},,Uxmal 78,Ciudad de México,03020,MX,DIF,19.3991461838411,-99.1541839018464
JHNWQiJPD6mnKBTDaBhREg,hop-the-beer-experience-2-ciudad-de-méxico,Hop The Beer Experience 2,https://s3-media3.fl.yelpcdn.com/bphoto/M7puYzm33HyhwMm5nSVV5Q/o.jpg,,False,https://www.yelp.com/biz/hop-the-beer-experience-2-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525570956140,+52 55 7095 6140,5.0,"[{'alias': 'beerbar', 'title': 'Beer Bar'}]",3.0,,$$,,{},,Av. Cuauhtémoc 870,Ciudad de México,03020,MX,DIF,19.3857762,-99.1571623
5Nj7ZDTorSGOVW6hh1Zh8A,cine-tonalá-méxico,Cine Tonalá,https://s3-media3.fl.yelpcdn.com/bphoto/ddKMO7alrkC-x2F2hIiqgQ/o.jpg,,False,https://www.yelp.com/biz/cine-tonal%C3%A1-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525552644101,+52 55 5264 4101,24.0,"[{'alias': 'movietheaters', 'title': 'Cinema'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,,$$,,{},,Tonalá 261,"México, D.F.",06470,MX,DIF,19.4089216875381,-99.1604186158386
i9N52mZOG0W0fu-IEYiwoQ,pinche-gringo-bbq-cuidad-de-mexico,Pinche Gringo BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/7sXKhFRfP3PB06gdRF69wg/o.jpg,,False,https://www.yelp.com/biz/pinche-gringo-bbq-cuidad-de-mexico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525563891129,+52 55 6389 1129,72.0,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'cafeteria', 'title': 'Cafeteria'}]",4.5,,$$,,{},,Cumbres de Maltrata 360,Cuidad de Mexico,03020,MX,DIF,19.392943,-99.1522111
