id,bussinessid,rating,user,text,time_created,url
yU0NFNqU_Xd322GTq-WE-w,EFM5tk2FyVjY_W43jxfrYQ,3.0,"{'id': 'I3ScxfzbbVVz3MUvsjmItg', 'profile_url': 'https://www.yelp.com/user_details?userid=I3ScxfzbbVVz3MUvsjmItg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/exaBfxoiS4cMrFxC83nRLg/o.jpg', 'name': 'Cristian P.'}",Excelentes tacos y tortas.  El pastor de estés local es excelente así como las salsas. La oferta de tacos no es muy extensa pero todos son excelentes....,2016-10-08 23:15:36,https://www.yelp.com/biz/el-vilsito-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=yU0NFNqU_Xd322GTq-WE-w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
YjbNMP8khknOAZzB2OSWjQ,EFM5tk2FyVjY_W43jxfrYQ,5.0,"{'id': 'xlAjdF2nbCNUfwf1SDb9hg', 'profile_url': 'https://www.yelp.com/user_details?userid=xlAjdF2nbCNUfwf1SDb9hg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/hh3hMbcMP-0KN0m2N6sGxg/o.jpg', 'name': 'Carolina J.'}",Llegamos aquí gracias a Yelp y al perenne tráfico citadino. El mareado y yo salimos del cine a las 9 de la noche y nos dirigíamos a casa de mis suegros para...,2014-07-01 08:04:27,https://www.yelp.com/biz/el-vilsito-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=YjbNMP8khknOAZzB2OSWjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
RP6bfSPhjasZWbrruJD0cw,EFM5tk2FyVjY_W43jxfrYQ,4.0,"{'id': 'PZNm30z1O959CMLU6lFbMw', 'profile_url': 'https://www.yelp.com/user_details?userid=PZNm30z1O959CMLU6lFbMw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/rl8npMxanO1NUqswNF_czg/o.jpg', 'name': 'Javi A.'}","No pueden faltar si andas por el rumbo y vienes de una noche de fiesta! 
La gringa es de lo mejor y el agua de horchata tmb es muy buena! 
El servicio es...",2016-08-15 13:44:26,https://www.yelp.com/biz/el-vilsito-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=RP6bfSPhjasZWbrruJD0cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
CMZR0bx6q-3VjSV4hY5BVQ,9Q9Z5Gnkr15nIvokMPxTgg,4.0,"{'id': '4JDRPTe1HCrADoH7x5GrgA', 'profile_url': 'https://www.yelp.com/user_details?userid=4JDRPTe1HCrADoH7x5GrgA', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/cCLCpwIIhVbv0HSAJP1WZA/o.jpg', 'name': 'Norma M.'}","Cuando éramos chamacos ¿a cuántos nos habrá preocupado beber agua directamente de la manguera del jardín? Cloro, sodio y otros minerales eran lo de menos si...",2014-03-08 07:42:07,https://www.yelp.com/biz/agua-purificada-layf-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=CMZR0bx6q-3VjSV4hY5BVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
WP5bZoX3upnQXk63cstvsw,jyBGBXB4QgV0nigbNiZftA,3.0,"{'id': 'rmZSDLPL_3gbn8vmbIOXJQ', 'profile_url': 'https://www.yelp.com/user_details?userid=rmZSDLPL_3gbn8vmbIOXJQ', 'image_url': None, 'name': 'Maria Dolores F.'}","La sopa de lentejas es deliciosa. 
La col y papas alemanas son buenas elecciones como guarnición. 
La parrillada puede mejorar. 
Gran opción ir cuando las...",2019-09-14 17:31:38,https://www.yelp.com/biz/nibelungengarten-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=WP5bZoX3upnQXk63cstvsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
j2klNp2q79Xk5YejGkAz2g,jyBGBXB4QgV0nigbNiZftA,3.0,"{'id': 'GAqZkGtihRNYPlG8TLWq9g', 'profile_url': 'https://www.yelp.com/user_details?userid=GAqZkGtihRNYPlG8TLWq9g', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/aRAD1TJMiDS-U5t5E8Eyog/o.jpg', 'name': 'Julio A.'}","Llegué al lugar para alcanzar a unos amigos que ya comían acá, el concepto del lugar muy bueno, la calidad de los platillos que probé igual, la cerveza de...",2016-09-07 12:56:50,https://www.yelp.com/biz/nibelungengarten-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=j2klNp2q79Xk5YejGkAz2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
P8sonC6w7hOLj1S5sNSeRg,jyBGBXB4QgV0nigbNiZftA,4.0,"{'id': '5HG6OjSxElvGOzGcp8c8Eg', 'profile_url': 'https://www.yelp.com/user_details?userid=5HG6OjSxElvGOzGcp8c8Eg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/ZOerCGYkWzyiW67WFROggA/o.jpg', 'name': 'Claudio C.'}","Un muy buen lugar para pasar el rato con los amigos o con la familia. Venden cerveza importada y nacional (la famosa DAB, Tucher, etc).
Sus platillos son...",2015-02-13 12:08:15,https://www.yelp.com/biz/nibelungengarten-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=P8sonC6w7hOLj1S5sNSeRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
3ijib8n2jRh9G4osd_Pl1Q,AuYebyA7CbRXkvtHP4FXMQ,2.0,"{'id': 'NSxA3I-Rc9kX5_XYkVo1Aw', 'profile_url': 'https://www.yelp.com/user_details?userid=NSxA3I-Rc9kX5_XYkVo1Aw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/5Rwe1J14lX-cNAdrfjEsww/o.jpg', 'name': 'Jazmín M.'}","#FoodPoliceNoRecomienda // la terraza está linda, sobre la popular y camina le acera de Cumbres de Maltrata. El ambiente bien: parsimonioso, de vecinos....",2016-08-15 13:06:53,https://www.yelp.com/biz/casquet-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=3ijib8n2jRh9G4osd_Pl1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
wueIqkACkMjoPkSAZdsffQ,AuYebyA7CbRXkvtHP4FXMQ,5.0,"{'id': 'I3ScxfzbbVVz3MUvsjmItg', 'profile_url': 'https://www.yelp.com/user_details?userid=I3ScxfzbbVVz3MUvsjmItg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/exaBfxoiS4cMrFxC83nRLg/o.jpg', 'name': 'Cristian P.'}",Lugar muy agradable y servicio muy atento. La carta no es muy amplia pero no necesita serlo. La especialidad son las empanadas y son muy buenas a muy buen...,2016-09-09 21:13:41,https://www.yelp.com/biz/casquet-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=wueIqkACkMjoPkSAZdsffQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
4nbGSs_57dMZBHaXJU53MQ,AuYebyA7CbRXkvtHP4FXMQ,4.0,"{'id': 'zp4Q73nruT-A5EBmGDWiiw', 'profile_url': 'https://www.yelp.com/user_details?userid=zp4Q73nruT-A5EBmGDWiiw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/Gwy54lINC8n09zNUr-zcSw/o.jpg', 'name': 'Alberto F.'}","Nuevo lugar de empanadas argentinas en la zona, muy buena presentación y precios, propuestas de bebida con mate, pidan la Casquet Clásica y la De Pino",2014-09-09 14:39:06,https://www.yelp.com/biz/casquet-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=4nbGSs_57dMZBHaXJU53MQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
