id,place_id,name,price_level,rating,user_ratings_total,icon,photos,reference,types,vicinity,compound_code,global_code,latitude,longitude
bb2a1772b7867d00d8f3eb3e7e29dcd0ce8e4720,ChIJwfZuKyv50YURxsVt11lW65E,Bar Lee,2.0,3.9,250.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118211299230309198301"">3RIK4 C3L4Y4</a>'], 'photo_reference': 'CmRaAAAAQ9VsP9hqzlsUbYfXBBHOwavSE-Z5SQ7HMALCeRWVXHdvf7C9opT0FQxGvBkhpejgUqkUiXS3BHKrdkZa1A77Cen1ZzdHWdcpwfcSgJffgQKTdgQykEJ01dVEtQk7P-bHEhDdkkvbVplAD6-ujRmLoC7FGhS_IXFJt8F-ygqdjke2Bg-ydJ0LaQ', 'width': 2322}]",ChIJwfZuKyv50YURxsVt11lW65E,"['bar', 'point_of_interest', 'establishment']","Av Independencia 19, Colonia Centro, Centro, Ciudad de México",CVM4+8X Mexico City,76F2CVM4+8X,19.4332725,-99.1425453
e74291f962cd6353dc08ed203cb2e882bd9ae783,ChIJeXsKWCz50YURN9Hgt9kre98,Bar agavus Ground Floor,2.0,3.5,225.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100706911848706318836"">isaack perez</a>'], 'photo_reference': 'CmRaAAAAEdA8-43E3psvNEPvigPkbWWEQkl3oPKkHJa5b8ZECktK1W45dDZifzv63CFY8qlcHoFQ3HG_bn9VrgSGsxOtoIpcpcX27OVtVsIsheKrmZUUzkp9XfG0_xzyl6jyPaLXEhBcwPJ3KZ0feI69FEzHEGHVGhTVz1urT1atMEeAPxDmrJGIMkKwTQ', 'width': 3264}]",ChIJeXsKWCz50YURN9Hgt9kre98,"['bar', 'point_of_interest', 'establishment']","Ignacio Allende 4, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVP6+CP Mexico City,76F2CVP6+CP,19.4361219,-99.1382096
832f25453d44aaa45a691f50172a76a80cea96f0,ChIJJ3vOmSz50YURYFga67X4PAM,The Opera,3.0,4.5,3647.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112850089779626571534"">alejandro macias</a>'], 'photo_reference': 'CmRaAAAAroGyZg0gzpUjg5iC6_9DSFgfL6GLxOaoS7fMtfGu8TbKg85YWM4Zb3q6e_gllR1CM3gFRVbqRioxRRw_jU9Jv5wVGpzSe3PI83EnI_T1JaQViqldVjHY8Y8dS74dayP8EhBDkm750mGPYmn8gJxgpAqLGhTvXXXqIBgtROlH9R0M6Rv6p0xDhg', 'width': 3840}]",ChIJJ3vOmSz50YURYFga67X4PAM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Av. 5 de Mayo 10, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVM6+V7 Mexico City,76F2CVM6+V7,19.4347316,-99.13937089999999
d5f2627204e0796e39166cdcb4f9228d8ec59ce7,ChIJj3Ncwif50YUR3wATPMenoA0,Restaurante Bar El 33,,4.5,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,,ChIJj3Ncwif50YUR3wATPMenoA0,"['bar', 'point_of_interest', 'establishment']","Degollado 105, Guerrero, Ciudad de México",CVW4+68 Mexico City,76F2CVW4+68,19.4456071,-99.144125
20183fa9e9a1082e41b9a81afbaa920081c3e956,ChIJvXaTvCz50YURDvqAcfrX2KI,Bar La Gioconda,2.0,4.5,686.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101242810098022730286"">JORGE SANTAMARIA</a>'], 'photo_reference': 'CmRaAAAAYNYzTURrIJHC6uW5ZHAlcGCeDWTUewVfMiQbN_KMq2Q2QVynFpofCixVY0-6KzX_dwNvivSz2VsU205FdLShvy-dkbTvdTYSaJnO5cGFrPFrAcImENQUNFtq5-rgjdKOEhATN_wRlrWNUOp1bs41crixGhQTxW16NaN5Z05WzQWjpRxrihhsHA', 'width': 4032}]",ChIJvXaTvCz50YURDvqAcfrX2KI,"['bar', 'point_of_interest', 'establishment']","Calle de Filomeno Mata 18-E, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVM6+P8 Mexico City,76F2CVM6+P8,19.434312,-99.13924399999999
3030844859c5b3dab0846fc5814826176a99ff5a,ChIJbSYooS350YURTLz5Rcyy3mI,Bar Don Ramiro,,3.8,113.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113313113271473442341"">Leticia Salinas Vargad</a>'], 'photo_reference': 'CmRaAAAAfcPQVCd5y83y98zqtPESfQcr9nG16ekpjNuj3-C_hUWnqmr7NCa8kaEz2pic8ROaDJpl5S13BqXV9h9Nt9zbF7YdpXDyT-9BsoV7CO8RE2T_5e3VsdcU_W4dpoPx_dtPEhCxvUPq9PdDXfNPLZpOprBMGhSxuTJUfuLHYqKDdl3RlgTB5tj1Cg', 'width': 3024}]",ChIJbSYooS350YURTLz5Rcyy3mI,"['bar', 'point_of_interest', 'establishment']","Donceles 52, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVP7+HF Mexico City,76F2CVP7+HF,19.4364144,-99.1362686
3cbe0d35bbc7121baca6ed024bfe5062a573c9e7,ChIJCS1UrdL-0YURny9dNpx9bmo,UTA,1.0,4.2,2236.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104718172828166546035"">PEDRO MONTAÑO</a>'], 'photo_reference': 'CmRaAAAA-wKobvSyLaJYBfx5r1fMS7s4LZBbe-XH_GsYTbMQwHfZ3tk8VigDwDLE4oEiMQbpQvS5UzFL2UL-jyG7oNdCA8Jx4fY-RvtWLT7NP1hzvwPbv4g94cwPIaSrd7wE_X4jEhBbORMUSPsx4AEhcs2uvMcYGhRp75sk9RMJp36igY34x5IxfRn09A', 'width': 3968}]",ChIJCS1UrdL-0YURny9dNpx9bmo,"['bar', 'point_of_interest', 'establishment']","Donceles 58, Centro Histórico de la Cdad. de México, Centro, Ejido del Centro","CVP7+GQ Centro, Mexico City",76F2CVP7+GQ,19.4363111,-99.13557639999999
bc1ff8e06e2d34fc438d30b268ea1a3ab4734337,ChIJXZxaPdL-0YURzN0t_WuKo30,Pakaly bar,2.0,4.1,533.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101621910237004750247"">Ricardo Hernández</a>'], 'photo_reference': 'CmRaAAAAZ991CWx_7d479SvUzM7p5aOLDMdmLZSHwLWvE5Ua6Y8KcVmzkI5a80V9V9b4ZAfVpAxBYxpnUJPreTtp61lEKzJOie6VyT8Z0S1tzjkB1VON2XAvWAFBBwSTJaApugveEhBosYfGOhNxiaaYkz4uJiMXGhTh9ekpfp1WdiD59AMrjrPNjouc3A', 'width': 3072}]",ChIJXZxaPdL-0YURzN0t_WuKo30,"['bar', 'point_of_interest', 'establishment']","Asc B, 1er Cjon. Mesones 5, Centro, Ciudad de México",CVH7+7J Mexico City,76F2CVH7+7J,19.4281747,-99.13598209999999
f6aa1a4acb03266c73344426a05709ccf7ef0bd0,ChIJo5djQS350YURI7MV35Ru0LA,Bar Pata Negra,3.0,4.3,2789.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100187243903865809506"">Hector Morales</a>'], 'photo_reference': 'CmRaAAAA6xooTB6xfUozCnSxAzNnAoYzLg82U3gv9DT0FaKF3VUB56N35XlOTK7aT4DsxrSvXtpT4a3JWLCz6omiPFytWmhWj5xwRnyD1qO3ajnAWrW2Zm7AuYF7t9OYVWocRNBwEhAT43g-40J-BnMZUN2UO6UEGhQVq2n5IGKKcI4RcyZJAiTLyBlzFg', 'width': 4032}]",ChIJo5djQS350YURI7MV35Ru0LA,"['bar', 'point_of_interest', 'establishment']","Av. 5 de Mayo 49, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVM7+JQ Mexico City,76F2CVM7+JQ,19.4340634,-99.1355617
33fc789f45f987ab3ffe46d0033b9bda7a6563c8,ChIJrzBJGdP-0YUR-KJatIwyMOM,Mancera bar,2.0,4.4,395.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117982399564060512893"">Yasuharu Medina Tsuchiya</a>'], 'photo_reference': 'CmRaAAAAIUOO-jdy2ORSM6lMzA7_w-pK_0BCb_qudpFdAXHaQo4jByrUtPfT-HJcWIa9Fzt1h94Z4IrsvVujsorHiqU9dADcD-V2_CUhS4upV5GpUFWOfspaGCbzcYnmG3ZjRkMWEhB8MaJ1JHKWLl86R93MSt80GhRljyNFQSRex957i60JHi-21FYqng', 'width': 4032}]",ChIJrzBJGdP-0YUR-KJatIwyMOM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Calle de Venustiano Carranza 49, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVJ6+HW Mexico City,76F2CVJ6+HW,19.43139,-99.137727
d1251604cc301029b0b9769d41ce6a0fad2d7cb5,ChIJv_DRpdT40YURpvcNmRf-Hx8,Bucardón,2.0,4.3,677.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 3823, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108121759042420887087"">Amaranta López</a>'], 'photo_reference': 'CmRaAAAARJ47qe5ydw97CQeGxEEm8qn5TnSuD7O6R2wi4MC1Ypy_0JK6Dlbpmy20xSPAIX0jL_XO5lS1RoHY2qo72d6i4EneVjT9m20g4WokXLlzam0JbhbaDskABRPrO2rPbHfuEhDbEQj_HuT_L9OS4XGaOdh4GhQglYXXIrZyFw4ii_DUNFNS3ykgIw', 'width': 3000}]",ChIJv_DRpdT40YURpvcNmRf-Hx8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Donato Guerra 1, Juárez, Ciudad de México",CRMX+8J Mexico City,76F2CRMX+8J,19.4332808,-99.15097809999999
7d7f3605fadaabe5d7b39beba117aefcb9fa48ca,ChIJpTqjZyz50YURqN6vklv4RLo,La Escena Bar,1.0,4.1,235.0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117592106997297473082"">La Escena Bar</a>'], 'photo_reference': 'CmRaAAAAMFIp2d_dg8FIEiuJ7mIlcyTuvF6GFMJWU53AGIYBtHAToFNs6l-B2N56oqO71mluo-Mr8-iX8zUUmXoQP2JSHFIjcST0BjKI0Z2QCy_dbosT866yTa1NJqhyNQXpwZwdEhBdXzT6FNqjlZsrx42NIS7qGhTVz2fkQNj-4qLjMIREAQl5lf__bQ', 'width': 595}]",ChIJpTqjZyz50YURqN6vklv4RLo,"['bar', 'point_of_interest', 'establishment']","Donceles 24, Centro Histórico de la Cdad. de México, Centro, Ciudad de México",CVP6+MJ Mexico City,76F2CVP6+MJ,19.4367311,-99.13849929999999
