id,place_id,plus_code,name,price_level,rating,user_ratings_total,icon,photos,reference,types,vicinity,geometry
2d0591e81d239044ddbc0cdb868f9f227cc9dc74,ChIJ_VWFYQf_0YURmXvB-lIQ5dg,"{""compound_code"": ""CVMC+2C Mexico City"", ""global_code"": ""76F2CVMC+2C""}",Cerveza Clandestina,,0,0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,,ChIJ_VWFYQf_0YURmXvB-lIQ5dg,"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","La Academia 22, Centro Histórico de la Cdad. de México, Centro, Ciudad de México","{""location"": {""lat"": 19.4325559, ""lng"": -99.12896680000001}, ""viewport"": {""northeast"": {""lat"": 19.43390432989272, ""lng"": -99.1276051201073}, ""southwest"": {""lat"": 19.43120467010728, ""lng"": -99.13030477989274}}}"
7ff8e6a75cbe63e1f636ba2e1055ee5c6926c282,ChIJd-Ax4ZT50YURXijS5kO62SA,"{""compound_code"": ""CVQ6+3V Mexico City"", ""global_code"": ""76F2CVQ6+3V""}",Cervecería Xolotl,,4.7,327,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,"[{""height"": 4160, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/104619962246232345859\"">Daniel Mej\u00eda</a>""], ""photo_reference"": ""CmRaAAAAI3rRODmyIedekANsbKIALgxDzdbNc5rQ6Dhqns_-LtuGPPdsFt-9X7qn-4OGiIQ8wapDsMnpa4qT21t3GeUQbJU5Vvv-x02BPl6n7-23Vfm_7AAPaPU2mlHko-RoKznoEhBWlBGng-R7nzEbtEAQo8OxGhQVr8rlwQc1q6See4xftLz4qe6mGg"", ""width"": 2336}]",ChIJd-Ax4ZT50YURXijS5kO62SA,"[""bar"", ""liquor_store"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]","Ignacio Allende 24, Centro Histórico de la Cdad. de México, Centro, Ciudad de México","{""location"": {""lat"": 19.4377466, ""lng"": -99.13779129999999}, ""viewport"": {""northeast"": {""lat"": 19.43910237989272, ""lng"": -99.13640227010727}, ""southwest"": {""lat"": 19.43640272010728, ""lng"": -99.13910192989272}}}"
24372acf6b5f9cba9a6a1f9fd7c44ea48b7acc35,ChIJ7xb82tn-0YURQ6OKPxf_sm8,"{""compound_code"": ""CVC5+75 Mexico City"", ""global_code"": ""76F2CVC5+75""}",Cerveceria La Reforma,,4.6,39,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,"[{""height"": 2250, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/106196252934351352645\"">Marco Andr\u00e9 Navarrete</a>""], ""photo_reference"": ""CmRZAAAAWNUugciU8VpWlAQVAmGVEc-NH7pze7JQP3AyfKuvNxE-XO63PnKe7iAGD1GyAgz9xX-F5Y971qYEwokPn-XFUWi-6nMTD6scxtVWdLXwBmjEvLtTdHP6i6J2qz2WrVPBEhCiMhQ7Kff4nmlQVO8B4RRVGhT3ClgeEL0MEAwaQBTJxzTjXEc3Ag"", ""width"": 3040}]",ChIJ7xb82tn-0YURQ6OKPxf_sm8,"[""food"", ""point_of_interest"", ""establishment""]","Calle Laura Mendez de Cuenca 21 A, Cuauhtemoc, Obrera, Ciudad de México","{""location"": {""lat"": 19.420653, ""lng"": -99.14204319999999}, ""viewport"": {""northeast"": {""lat"": 19.42199787989273, ""lng"": -99.14064042010727}, ""southwest"": {""lat"": 19.41929822010728, ""lng"": -99.14334007989271}}}"
8507c2db92eb6725ebe9af0b5d6a1e0407a43595,ChIJHf_H4jf50YURmcORCV83wuw,"{""compound_code"": ""CVVG+XH Mexico City"", ""global_code"": ""76F2CVVG+XH""}",Cerveza Modelo,,3.7,3,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,,ChIJHf_H4jf50YURmcORCV83wuw,"[""liquor_store"", ""point_of_interest"", ""store"", ""establishment""]","Calle Mecanicos, Morelos, Ciudad de México","{""location"": {""lat"": 19.4449485, ""lng"": -99.1235576}, ""viewport"": {""northeast"": {""lat"": 19.44623592989272, ""lng"": -99.12221667010729}, ""southwest"": {""lat"": 19.44353627010728, ""lng"": -99.12491632989273}}}"
0011f52b22c40d14b342f8a9e26cd934a848e1d8,ChIJDyMxaCz_0YURjkhB8Z9IXhA,"{""compound_code"": ""CRHX+C2 Mexico City"", ""global_code"": ""76F2CRHX+C2""}",Cerveceria Vizcaya,,4.2,53,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{""height"": 4032, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/106070320484780409931\"">Roberto Casillas</a>""], ""photo_reference"": ""CmRaAAAAfopW0n3AztanUlaVzxIjWL5D1pkn29d-MFhZMjlTxzmSWjrWUUi4bPwi9zzNG7ROXs0GX5_6fCM61EiLkqxjduNErmNxexgZuiuYF4_qKjLK_R5E28qrYrxvtDVPMIIcEhDi7Ndz7zTOChhv0P1W03OQGhQvqwJdCH-5ez9sgeqV3WXL91aJ4w"", ""width"": 2268}]",ChIJDyMxaCz_0YURjkhB8Z9IXhA,"[""bar"", ""liquor_store"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]","Bucareli 128-E, Colonia Centro, Centro, Ciudad de México","{""location"": {""lat"": 19.4285751, ""lng"": -99.1524523}, ""viewport"": {""northeast"": {""lat"": 19.42994592989272, ""lng"": -99.15115637010729}, ""southwest"": {""lat"": 19.42724627010728, ""lng"": -99.15385602989274}}}"
7ebb1db25f76df854e6177371aab17d7adb479ab,ChIJqWlVgNH-0YURyUpwAgnbIJU,"{""compound_code"": ""CVG7+V4 Mexico City"", ""global_code"": ""76F2CVG7+V4""}",El Depósito,2,4.2,948,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{""height"": 4096, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/110795217743253364710\"">Andres Alcantara</a>""], ""photo_reference"": ""CmRaAAAA5th9NsrrhdUf0xcQ4-w2jECp2Vgb8PTONqyeZNmsEA0ojLeE_XQgkJGqLs7Z5XRnXxufYbJ3NpcQ0xWMPxxOpTLLMtyfF_z_9UZ21JhavzguOqZlb5DIZhc5p818MyYAEhAslInPiXBj4gGAnyLOikjlGhSUBuJCnT0lHID8JlMt1RFsn-4hCQ"", ""width"": 2304}]",ChIJqWlVgNH-0YURyUpwAgnbIJU,"[""bar"", ""point_of_interest"", ""establishment""]","Isabel la Católica 96, Centro Histórico de la Cdad. de México, Centro, Ciudad de México","{""location"": {""lat"": 19.4271951, ""lng"": -99.1371381}, ""viewport"": {""northeast"": {""lat"": 19.42855062989272, ""lng"": -99.1358304201073}, ""southwest"": {""lat"": 19.42585097010728, ""lng"": -99.13853007989275}}}"
b391ea588115aa08ea580c392eb59191fcf6c40b,ChIJ94StmEn50YURrZtV79ipQCk,"{""compound_code"": ""CVRH+HJ Mexico City"", ""global_code"": ""76F2CVRH+HJ""}",Modelorama,,4,25,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,,ChIJ94StmEn50YURrZtV79ipQCk,"[""liquor_store"", ""point_of_interest"", ""store"", ""establishment""]","Hortelanos 9, Morelos, Ciudad de México","{""location"": {""lat"": 19.441437, ""lng"": -99.120995}, ""viewport"": {""northeast"": {""lat"": 19.44273812989272, ""lng"": -99.11965097010727}, ""southwest"": {""lat"": 19.44003847010728, ""lng"": -99.12235062989272}}}"
99bdced537a34e12a95fcf41755c0b8e0e61b85e,ChIJsbljwPz50YURH08jBESsnZQ,"{""compound_code"": ""CVXF+23 Mexico City"", ""global_code"": ""76F2CVXF+23""}",La Chiingada Alitas & Cervezas,,0,0,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{""height"": 448, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/113934334942735249232\"">A Google User</a>""], ""photo_reference"": ""CmRaAAAAVB11XcmdXHZg1ucyN2fG3DWFeI22ETqjYw1TWhwf61myr6wzIf9iA-UqZsSBVIbuChxS55g6A2oYEXsxLGz9bAWXDWiTvEn3YqpkvRLu3v8_kvpBR4xXUba0kIhIoCILEhC5e7ipZT3xui_uOLerKwNHGhTQVD2zY1GpVjd2pHQVWOa7YfeiMA"", ""width"": 799}]",ChIJsbljwPz50YURH08jBESsnZQ,"[""bar"", ""point_of_interest"", ""establishment""]","Rivero 100 Accesoria 711 Morelos, Tepito, Ciudad de México","{""location"": {""lat"": 19.4475828, ""lng"": -99.12732009999999}, ""viewport"": {""northeast"": {""lat"": 19.44888767989272, ""lng"": -99.12598232010727}, ""southwest"": {""lat"": 19.44618802010728, ""lng"": -99.1286819798927}}}"
ee532da241184699e8b13637cc6b9ec8b6e221c2,ChIJ4SxVs9L-0YURjo7MVvbVtJM,"{""compound_code"": ""CVM7+7P Mexico City"", ""global_code"": ""76F2CVM7+7P""}",Hilaria,2,4.5,736,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[{""height"": 3024, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/117891513794941396407\"">Gabriel S</a>""], ""photo_reference"": ""CmRaAAAA9kTpQBs3NjQCxvbJ4NI15TYcenFeGSggEZ_tHLIPkGugQMomi6um2gV_rYb3Zb1-jTUU9VKzZ1D7akO5tUbNNsfFTQku95UAs5bHAm56kMF4qPfzUGjca4GCh09J6BndEhCvAPe7awmyLqMFQU2Yc0j2GhSUjs1UvB1K448EC00ztHiiQaXaoQ"", ""width"": 4032}]",ChIJ4SxVs9L-0YURjo7MVvbVtJM,"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Avenida Francisco I. Madero 57 local 101, 102, 103, Centro, Ciudad de México","{""location"": {""lat"": 19.4331613, ""lng"": -99.1356275}, ""viewport"": {""northeast"": {""lat"": 19.43451112989272, ""lng"": -99.13427767010728}, ""southwest"": {""lat"": 19.43181147010727, ""lng"": -99.13697732989273}}}"
87b6c8c790858bdc460a76c780e4443c105f9749,ChIJe292z9H-0YURJj3B4Ls8U84,"{""compound_code"": ""CVG7+3R Mexico City"", ""global_code"": ""76F2CVG7+3R""}",El Rincon Del Sabor. Cerveza $60,,5,1,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[{""height"": 3264, ""html_attributions"": [""<a href=\""https://maps.google.com/maps/contrib/116083041161495911223\"">Deker La 23</a>""], ""photo_reference"": ""CmRaAAAAlucXaXFMMHHRefhr0oTh8XE1Z5ZnsVsmiAW00qMVKsTXIgBz9l4JJd9SB9G18WlcJYbOON8zYLtzin1WDsdGd6BE__MBydSMdVX3JPW1C1J4KWZfHqs_vVIk9po3hTRDEhDHDkT5-29qNOry_SRgaeTJGhQ72yhGIzE9Xmo8QF4vXpFR12b6rA"", ""width"": 2448}]",ChIJe292z9H-0YURJj3B4Ls8U84,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","5 de Febrero esquina, Nezahualcóyotl plaza diamante, Ciudad de México","{""location"": {""lat"": 19.4251416, ""lng"": -99.1354193}, ""viewport"": {""northeast"": {""lat"": 19.42649597989272, ""lng"": -99.13410252010728}, ""southwest"": {""lat"": 19.42379632010728, ""lng"": -99.13680217989273}}}"
