id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,special_hours
EFM5tk2FyVjY_W43jxfrYQ,el-vilsito-ciudad-de-méxico,El Vilsito,https://s3-media2.fl.yelpcdn.com/bphoto/irzWQkvOf4OzNm4H8x8ZDA/o.jpg,,False,https://www.yelp.com/biz/el-vilsito-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525556827213,+52 55 5682 7213,58.0,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.5,"{'address1': 'Av. Universidad 248', 'address2': 'Col. Narvarte', 'address3': '', 'city': 'Ciudad de México', 'zip_code': '03020', 'country': 'MX', 'state': 'DIF', 'display_address': ['Av. Universidad 248', 'Col. Narvarte', '03020 Ciudad de México, CDMX', 'Mexico']}","{'latitude': 19.3894857763437, 'longitude': -99.1527070980448}",,$$,,{},
jyBGBXB4QgV0nigbNiZftA,nibelungengarten-méxico-2,Nibelungengarten,https://s3-media1.fl.yelpcdn.com/bphoto/C69e1SezV9Whks1ffaylrQ/o.jpg,,False,https://www.yelp.com/biz/nibelungengarten-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525556091309,+52 55 5609 1309,13.0,"[{'alias': 'german', 'title': 'German'}]",4.0,"{'address1': 'Dr. José Ma. Vertíz 1024', 'address2': 'Col. Navarte', 'address3': '', 'city': 'México, D.F.', 'zip_code': '03600', 'country': 'MX', 'state': 'DIF', 'display_address': ['Dr. José Ma. Vertíz 1024', 'Col. Navarte', '03600 México, D.F.', 'Mexico']}","{'latitude': 19.3839854, 'longitude': -99.1521363}",,$$,,{},
AuYebyA7CbRXkvtHP4FXMQ,casquet-méxico,Casquet,https://s3-media4.fl.yelpcdn.com/bphoto/i-uqxyDw1hTgfp_btMnJ5g/o.jpg,,False,https://www.yelp.com/biz/casquet-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525563947022,+52 55 6394 7022,3.0,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'address1': 'Calle Palenque 154', 'address2': 'Col. Narvarte', 'address3': '', 'city': 'México, D.F.', 'zip_code': '03020', 'country': 'MX', 'state': 'DIF', 'display_address': ['Calle Palenque 154', 'Col. Narvarte', '03020 México, D.F.', 'Mexico']}","{'latitude': 19.3929302025596, 'longitude': -99.1519633587443}",,$,,{},
9Q9Z5Gnkr15nIvokMPxTgg,agua-purificada-layf-méxico,Agua purificada Layf,https://s3-media1.fl.yelpcdn.com/bphoto/_Rj3XtOV-u5m5iaLLTamZg/o.jpg,,False,https://www.yelp.com/biz/agua-purificada-layf-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525563634089,+52 55 6363 4089,1.0,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",4.0,"{'address1': 'Nicolás San Juan 26 B esquina Obrero Mundial', 'address2': 'Col. Del Valle', 'address3': '', 'city': 'México, D.F.', 'zip_code': '03100', 'country': 'MX', 'state': 'DIF', 'display_address': ['Nicolás San Juan 26 B esquina Obrero Mundial', 'Col. Del Valle', '03100 México, D.F.', 'Mexico']}","{'latitude': 19.4016091, 'longitude': -99.1605304}",,,,{},
MLf4k9S4A0MqouGDr9f69w,beer-bros-méxico,Beer Bros,https://s3-media2.fl.yelpcdn.com/bphoto/1V95xgHkKxNLcD-Nq9X64g/o.jpg,,False,https://www.yelp.com/biz/beer-bros-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525539958022,+52 55 3995 8022,7.0,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'address1': 'Luz Saviñon S/N', 'address2': 'Col. Narvarte Poniente', 'address3': '', 'city': 'México, D.F.', 'zip_code': '03020', 'country': 'MX', 'state': 'DIF', 'display_address': ['Luz Saviñon S/N', 'Col. Narvarte Poniente', '03020 México, D.F.', 'Mexico']}","{'latitude': 19.3914569617202, 'longitude': -99.1606706994057}",,$$$,,{},
OEl1HJB0Yl8a6r5f7nveaw,cervecería-la-victoria-méxico-2,Cervecería La Victoria,https://s3-media1.fl.yelpcdn.com/bphoto/BNwstelYLZvtHWjiT0zAJQ/o.jpg,,False,https://www.yelp.com/biz/cervecer%C3%ADa-la-victoria-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525555903456,+52 55 5590 3456,3.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'divebars', 'title': 'Dive Bars'}]",3.5,"{'address1': 'Toledo 189', 'address2': 'Col. Alamos', 'address3': '', 'city': 'México, D.F.', 'zip_code': '03400', 'country': 'MX', 'state': 'DIF', 'display_address': ['Toledo 189', 'Col. Alamos', '03400 México, D.F.', 'Mexico']}","{'latitude': 19.3954906, 'longitude': -99.1385117}",,$,,{},
F9Vz6tbQLqAVl_jfCHHo5Q,fonda-argentina-benito-juárez,Fonda Argentina,https://s3-media4.fl.yelpcdn.com/bphoto/9C_IS5xSuqwITH13SlaaUA/o.jpg,,False,https://www.yelp.com/biz/fonda-argentina-benito-ju%C3%A1rez?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525524540045,+52 55 2454 0045,4.0,"[{'alias': 'argentine', 'title': 'Argentine'}]",4.0,"{'address1': 'Viaducto Miguel Alemán 80', 'address2': 'Col. Atenor Salas', 'address3': None, 'city': 'México, D.F.', 'zip_code': '03010', 'country': 'MX', 'state': 'DIF', 'display_address': ['Viaducto Miguel Alemán 80', 'Col. Atenor Salas', '03010 México, D.F.', 'Mexico']}","{'latitude': 19.403782, 'longitude': -99.148331}",,$$$,,{},
JHNWQiJPD6mnKBTDaBhREg,hop-the-beer-experience-2-ciudad-de-méxico,Hop The Beer Experience 2,https://s3-media3.fl.yelpcdn.com/bphoto/M7puYzm33HyhwMm5nSVV5Q/o.jpg,,False,https://www.yelp.com/biz/hop-the-beer-experience-2-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525570956140,+52 55 7095 6140,5.0,"[{'alias': 'beerbar', 'title': 'Beer Bar'}]",3.0,"{'address1': 'Av. Cuauhtémoc 870', 'address2': 'Col. narvarte', 'address3': None, 'city': 'Ciudad de México', 'zip_code': '03020', 'country': 'MX', 'state': 'DIF', 'display_address': ['Av. Cuauhtémoc 870', 'Col. narvarte', '03020 Ciudad de México, CDMX', 'Mexico']}","{'latitude': 19.3857762, 'longitude': -99.1571623}",,$$,,{},
u--INeZ5_5RuRgyDoi6xfA,está-krbón-ciudad-de-méxico,Está Krbón,https://s3-media3.fl.yelpcdn.com/bphoto/QqXlmO1uDpcMdvZHoViNDg/o.jpg,,False,https://www.yelp.com/biz/est%C3%A1-krb%C3%B3n-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525567255537,+52 55 6725 5537,10.0,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'address1': 'Uxmal 78', 'address2': 'Col. Narvarte Poniente', 'address3': '', 'city': 'Ciudad de México', 'zip_code': '03020', 'country': 'MX', 'state': 'DIF', 'display_address': ['Uxmal 78', 'Col. Narvarte Poniente', '03020 Ciudad de México, CDMX', 'Mexico']}","{'latitude': 19.3991461838411, 'longitude': -99.1541839018464}",,$,,{},
5Nj7ZDTorSGOVW6hh1Zh8A,cine-tonalá-méxico,Cine Tonalá,https://s3-media3.fl.yelpcdn.com/bphoto/ddKMO7alrkC-x2F2hIiqgQ/o.jpg,,False,https://www.yelp.com/biz/cine-tonal%C3%A1-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xDKeFNUg3YH3P2W3fl1X6g,+525552644101,+52 55 5264 4101,24.0,"[{'alias': 'movietheaters', 'title': 'Cinema'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'address1': 'Tonalá 261', 'address2': 'Col. Roma Sur', 'address3': '', 'city': 'México, D.F.', 'zip_code': '06470', 'country': 'MX', 'state': 'DIF', 'display_address': ['Tonalá 261', 'Col. Roma Sur', '06470 México, D.F.', 'Mexico']}","{'latitude': 19.4089216875381, 'longitude': -99.1604186158386}",,$$,,{},
